EVA_NR;DS100;IFOPT;NAME;VERKEHR;LAENGE;BREITE;STATUS
8002596;NHHF;de:09573:5020;Hardhof;RV;10,7847260;49,4969250;
8002598;HHAR;de:03454:8618;Haren(Ems);nur DPN;7,30142800;52,7851230;
8002605;NH;de:09477:18961;Harsdorf;RV;11,5662730;50,0277620;
8002607;HHRS;de:03254:9920;Harsum;RV;9,96569700;52,2064960;
8002609;NHAR;de:09571:13470;Hartershofen;RV;10,2422380;49,4167620;
8002610;MHHS;de:09179:6240;Harthaus;RV;11,3878670;48,1335020;
8002612;NHS;de:09574:7660;Hartmannshof;RV;11,5545620;49,4988580;
8002615;HHSB;de:03459:38878;Hasbergen;nur DPN;7,95396700;52,2416970;
8002621;RHS;de:08317:18520;Haslach;RV;8,08797500;48,2800400;
8002622;NHCH;de:09677:75209;Hasloch(Main);RV;9,48212500;49,7893350;
8002623;MHMR;de:09179:6520;Haspelmoor;RV;11,0987840;48,2232630;
8002625;SHSS;de:10045:8002625;Hassel(Saar);RV;7,17130900;49,2633230;
8002627;FHL;de:06532:11514;Hasselborn;nur DPN;8,49533600;50,4065930;
8002628;AHSB,AHSF;de:02000:60950;Hamburg Hasselbrook;RV;10,0561290;53,5647110;
8002630;NHT;de:09674:27220;Haßfurt;RV;10,5099980;50,0333230;
8002632;RHLO;de:07332:1080;Haßloch(Pfalz);RV;8,25339600;49,3719560;
8002633;RHAS;de:08225:8222;Haßmersheim;RV;9,15412900;49,3040300;
8002634;HHAS;de:03257:508;Haste;RV;9,38909700;52,3796560;
8002635;FHAT;de:06439:11031;Hattenheim;nur DPN;8,05680000;50,0136630;
8002637;FHAS;de:06436:2001;Hattersheim(Main);RV;8,48963800;50,0678790;
8002638;KHAT;;Hattert;nur DPN;7,77588600;50,6761300;
8002639;EHAT;de:05954:8435;Hattingen(Ruhr);RV;7,16986500;51,4009110;
8002640;EHTM;de:05954:8437;Hattingen(R) Mitte;RV;7,18053800;51,3971980;
8002641;HHTF;de:03156:39154;Hattorf;RV;10,2359990;51,6462230;
8002643;SHZ;de:07137:11064;Hatzenport;RV;7,41350800;50,2276780;
8074703;WPRH;de:12070:900215744;	Pritzwalk Hainholz;nur DPN;12,205920;53,170082;derzeit n. a.
8002648;SHAM;de:07340:8073;Hauenstein Mitte;RV;7,84956400;49,1991690;
8002649;SHAU;de:07340:8057;Hauenstein(Pfalz);RV;7,83025200;49,2013900;
8002651;MHPH;de:09774:2932;Haupeltshofen;RV;10,3824300;48,1804670;
8002655;SHPT;de:07335:8122;Hauptstuhl;RV;7,49094900;49,4019740;
8002656;THAT;de:08437:44005;Hausen i Tal;RV;9,02757400;48,0804080;
8002664;MHNS;de:09778:2927;Hausen(Schwab);RV;10,4825170;48,1010040;
8002666;RHSN;de:08336:6637;Hausen-Raitbach;RV;7,84604100;47,6793100;
8002667;MHHM;de:09182:43217;Hausham;nur DPN;11,8402570;47,7504120;
8002670;EHBK;de:05558:30583;Havixbeck;RV;7,40771100;51,9667130;
8002671;MHEF;de:09277:6210;Hebertsfelden;RV;12,8185330;48,4164960;
8002673;THCH;de:08417:32107;Hechingen;RV;8,96877500;48,3596010;
8002674;AHEN;de:03352:39456;Hechthausen;nur DPN;9,22807100;53,6387160;
8002675;FHEH;de:06633:209646;Ahnatal-Heckershausen;RV;9,42272700;51,3629910;
8002677;FHED;de:03152:39486;Hedemünden;RV;9,76214400;51,3921640;
8002678;NHED;de:09574:7790;Hedersdorf;RV;11,3387050;49,5693440;
8002680;EHE P;de:05915:7120;Heessen;RV;7,83155100;51,7091950;
8002681;RHBF;de:08221:1457;Heidelberg-Weststadt/Südstadt;RV;8,68874900;49,3983240;
8002682;EHEG;de:05966:10495;Heggen;nur DPN;7,96323800;51,1535170;
8002683;RHGN;de:08335:6553;Hegne;RV;9,09957200;47,7060370;
8002684;RHBO;de:08221:1284;Heidelberg Orthopädie;RV;8,77491300;49,4099950;
8002685;RHKA;de:08221:1166;Heidelberg-Altstadt;RV;8,72088700;49,4152370;
8002686;RHKM;de:08221:1203;Heidelberg-Kirchheim/Rohrbach;RV;8,67538300;49,3793890;
8002687;RHBP;de:08221:1454;Heidelberg-Pfaffengrund/Wieblingen;RV;8,64157000;49,4119290;
8002688;RHI;de:08215:1834;Heidelsheim;RV;8,64948300;49,1016100;
8002689;THD;de:08135:600;Heidenheim;RV;10,1566420;48,6801700;
8002690;THDM;de:08135:620;Heidenheim-Mergelstetten;RV;10,1609760;48,6532790;
8002691;THDS;de:08135:630;Heidenheim-Schnaitheim;RV;10,1587600;48,7082810;
8002692;FHEI;de:07339:8193;Heidesheim(Rheinhess);nur DPN;8,11131800;49,9970230;
8002694;HHEI;de:03401:39918;Heidkrug;nur DPN;8,68019500;53,0570930;
8002695;HHDM;de:03455:82392;Schortens-Heidmühle;nur DPN;7,94636700;53,5421580;
8002696;NHEI;de:09671:99139;Heigenbrücken;RV;9,36394300;50,0272320;
8002699;THST;de:08121:75;Heilbronn Sülmertor;RV;9,22059800;49,1516010;
8002700;TTPS;de:08121:8170;Heilbronn Trappensee;RV;9,25257000;49,1402820;
8002703;MHEI;de:09171:10006;Heiligenstatt(Obb);RV;12,6095850;48,2133590;
8002704;RHN;de:07338:3393;Heiligenstein(Pfalz);RV;8,39372600;49,2856600;
8002705;NHE;de:09571:12650;Heilsbronn;RV;10,7910530;49,3459500;
8002707;SHB;de:07134:35410;Heimbach(Nahe);nur DPN;7,23104700;49,6176760;
8002710;MHMK;de:09776:1515;Heimenkirch;RV;9,90210000;47,6289090;
8002711;KHEH;de:07131:80058;Heimersheim;RV;7,17440900;50,5474500;
8002715;MHEM;de:09184:2120;Heimstetten;RV;11,7596590;48,1587550;
8002716;FHEB;de:06632:202024;Heinebach;nur DPN;9,66442300;51,0457390;
8002718;KHEBR;de:05370:3594;Heinsberg-Randerath;RV;6,18244900;51,0162440;
8002719;KHEBH;de:05370:3532;Heinsberg-Horst;RV;6,18230300;51,0288410;
8002720;KHEBP;de:05370:3588;Heinsberg-Porselen;RV;6,17448200;51,0406150;
8002721;KHEB;de:05370:3512;Heinsberg(Rheinl);RV;6,09888100;51,0650370;
8002722;TH  T;de:08121:31002;Heilbronn Theater;RV;9,22215000;49,1462730;
